date,age,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-09-25,0-19,514,487.571428571429,703.946307685975,469.833325257487,938.059290114464,33
2022-09-26,0-19,488,498.428571428571,703.501059411278,469.462438357639,937.539680464916,33
2022-09-27,0-19,474,495.714285714286,703.056059610796,469.091777331617,937.020341889974,33
2022-09-28,0-19,500,500.0,702.611500959121,468.721502602485,936.501499315757,33
2022-09-29,0-19,464,495.0,702.167575596049,468.351774108792,935.983377083306,33
2022-09-30,0-19,556,497.714285714286,701.724475071156,467.982751258563,935.46619888375,33
2022-10-01,0-19,446,474.857142857143,664.498973572484,447.393844408931,881.604102736037,30
2022-10-02,0-19,508,477.142857142857,664.081219560481,447.044578247615,881.117860873347,30
2022-10-03,0-19,439,472.428571428571,663.664787760319,446.696434427864,880.633141092774,30
2022-10-04,0-19,457,471.142857142857,663.249856927068,446.349562159604,880.150151694532,30
2022-10-05,0-19,516,477.0,662.836605005126,446.004109940209,879.669100070044,30
2022-10-06,0-19,456,479.428571428571,662.42520908024,445.660225514842,879.190192645638,30
2022-10-07,0-19,483,470.428571428571,662.015845332295,445.318055837509,878.713634827081,30
2022-10-08,0-19,460,474.0,661.608688988908,444.977747032817,878.239630945,30
2022-10-09,0-19,478,471.0,661.203914279815,444.639444358461,877.768384201169,30
2022-10-10,0-19,485,477.571428571429,660.801694392049,444.303292168419,877.300096615678,30
2022-10-11,0-19,453,475.857142857143,660.402201425931,443.969433876873,876.83496897499,30
2022-10-12,0-19,476,471.142857142857,660.005606351864,443.638011922847,876.373200780881,30
2022-10-13,0-19,470,472.857142857143,659.612078967931,443.309167735574,875.914990200288,30
2022-10-14,0-19,497,474.428571428571,659.221787858308,442.983041700577,875.460534016038,30
2022-10-15,0-19,481,475.285714285714,658.834900352482,442.659773126479,875.010027578485,30
2022-10-16,0-19,507,478.428571428571,658.451582485288,442.33950021253,874.563664758047,30
2022-10-17,0-19,464,477.714285714286,658.071998957742,442.022360016849,874.121637898635,30
2022-10-18,0-19,468,481.285714285714,657.696313098687,441.708488425384,873.68413777199,30
2022-10-19,0-19,441,476.571428571429,657.32468682725,441.398020121586,873.251353532914,30
2022-10-20,0-19,415,467.285714285714,656.957280616091,441.091088556787,872.823472675394,30
2022-10-21,0-19,486,464.857142857143,656.594253455456,440.787825921282,872.400680989629,30
2022-10-22,0-19,481,465.0,656.235762818022,440.488363116109,871.983162519936,30
2022-10-23,0-19,483,461.571428571429,655.881964624539,440.192829725526,871.571099523551,30
2022-10-24,0-19,431,459.0,655.53301321024,439.901353990171,871.16467243031,30
2022-10-25,0-19,413,452.142857142857,655.189061292046,439.614062780897,870.764059803195,30
2022-10-26,0-19,441,449.0,654.850259936538,439.331081573298,870.369438299777,30
2022-10-27,0-19,477,457.142857142857,654.516758528682,439.052534422873,869.98098263449,30
2022-10-28,0-19,501,461.428571428571,654.188704741336,438.778543940878,869.598865541794,30
2022-10-29,0-19,528,468.285714285714,653.86624450548,438.509231270801,869.223257740159,30
2022-10-30,0-19,527,475.285714285714,653.549521981206,438.244716065496,868.854327896917,30
2022-10-31,0-19,483,481.428571428571,653.238679529436,437.98511646494,868.492242593931,30
2022-11-01,0-19,511,497.285714285714,652.933857684353,437.730549074613,868.137166294094,30
2022-11-02,0-19,453,497.285714285714,652.635195126567,437.481128944491,867.789261308644,30
