date,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-03-01,3203,3328.71428571429,3965.1389526901,3337.94968815904,4592.32821722116,38
2023-03-02,3270,3285.28571428571,3967.55171091207,3340.16425039646,4594.93917142769,38
2023-03-03,3514,3286.28571428571,3969.99283890151,3342.4049590332,4597.58071876982,38
2023-03-04,3214,3297.57142857143,3972.46177230186,3344.671297774,4600.25224682971,38
2023-03-05,3100,3317.42857142857,3974.9579380204,3346.96274226381,4602.953133777,38
2023-03-06,3467,3316.42857142857,3977.48075434738,3349.2787601946,4605.68274850017,38
2023-03-07,3336,3300.57142857143,3980.02963107803,3351.61881141488,4608.44045074118,38
2023-03-08,3198,3299.85714285714,3982.60396963768,3353.982348042,4611.22559123335,38
2023-03-09,3312,3305.85714285714,3985.20316320993,3356.36881457735,4614.03751184251,38
2023-03-10,3439,3295.14285714286,3987.82659686793,3358.77764802438,4616.87554571147,38
2023-03-11,3268,3302.85714285714,3990.4736477087,3361.20827800954,4619.73901740786,38
2023-03-12,3118,3305.42857142857,3993.1436849906,3363.660126906,4622.6272430752,38
2023-03-13,3734,3343.57142857143,3995.83607027392,3366.13260996041,4625.53953058742,38
2023-03-14,3329,3342.57142857143,3998.5501575646,3368.6251354225,4628.4751797067,38
2023-03-15,3313,3359.0,4001.28529346111,3371.13710467761,4631.43348224462,38
2023-03-16,3462,3380.42857142857,4004.04081730449,3373.66791238222,4634.41372222677,38
2023-03-17,3687,3415.85714285714,4006.81606133153,3376.21694660235,4637.4151760607,38
2023-03-18,3537,3454.28571428571,4009.61035083114,3378.78358895503,4640.43711270725,38
2023-03-19,3427,3498.42857142857,4012.42300430393,3381.36721475261,4643.47879385524,38
2023-03-20,3728,3497.57142857143,4015.25333362486,3383.96719315016,4646.53947409956,38
2023-03-21,3418,3510.28571428571,4018.10064420921,3386.58288729573,4649.61840112268,38
2023-03-22,3402,3523.0,4020.96423518157,3389.2136544837,4652.71481587945,38
2023-03-23,3379,3511.14285714286,4023.84339954813,3391.85884631098,4655.82795278528,38
2023-03-24,3470,3480.14285714286,4026.737424372,3394.51780883625,4658.95703990774,38
2023-03-25,3274,3442.57142857143,4029.64559095181,3397.18988274218,4662.10129916144,38
2023-03-26,3049,3388.57142857143,4032.56717500336,3399.87440350052,4665.2599465062,38
2023-03-27,3392,3340.57142857143,4035.50144684439,3402.57070154016,4668.43219214863,38
2023-03-28,3314,3325.71428571429,4038.44767158253,3405.27810241819,4671.61724074688,38
2023-03-29,3343,3317.28571428571,4041.40510930625,3407.99592699374,4674.81429161877,38
2023-03-30,3313,3307.85714285714,4044.37301527892,3410.72349160484,4678.02253895301,38
2023-03-31,3577,3323.14285714286,4047.35064013592,3413.46010824805,4681.24117202378,38
2023-04-01,3298,3414.71428571429,3995.36657302703,3364.3169178515,4626.41622820256,38
2023-04-02,2991,3393.14285714286,3998.32072504947,3367.02959180697,4629.61185829196,38
2023-04-03,3741,3429.71428571429,4001.28222106718,3369.7491273304,4632.81531480396,38
2023-04-04,3306,3414.28571428571,4004.25030562823,3372.47483112582,4636.02578013064,38
2023-04-05,3435,3412.85714285714,4007.22421973153,3375.20600654579,4639.24243291726,38
2023-04-06,3561,3433.28571428571,4010.20320103861,3377.9419537849,4642.46444829232,38
2023-04-07,3219,3364.42857142857,4013.18648408812,3380.68197007584,4645.6909981004,38
2023-04-08,3530,3397.57142857143,4016.17330051307,3383.42534988817,4648.92125113798,38
2023-04-09,3330,3446.0,4019.1628792607,3386.17138512946,4652.15437339195,38
2023-04-10,3234,3373.57142857143,4022.15444681498,3388.91936534908,4655.38952828088,38
2023-04-11,3858,3452.42857142857,4025.14722742164,3391.66857794432,4658.62587689897,38
2023-04-12,3525,3465.28571428571,4028.14044331578,3394.41830836897,4661.86257826259,38
2023-04-13,3414,3444.28571428571,4031.13331495178,3397.16784034419,4665.09878955937,38
2023-04-14,3640,3504.42857142857,4034.12506123571,3399.91645607166,4668.33366639976,38
2023-04-15,3202,3457.57142857143,4037.11489976001,3402.66343644903,4671.56636307099,38
2023-04-16,3034,3415.28571428571,4040.10204704036,3405.40806128737,4674.79603279334,38
2023-04-17,3668,3477.28571428571,4043.08571875482,3408.1496095309,4678.02182797874,38
2023-04-18,3444,3418.14285714286,4046.06512998498,3410.88735947858,4681.24290049138,38
2023-04-19,3354,3393.71428571429,4049.03949545917,3413.62058900776,4684.45840191058,38
2023-04-20,3376,3388.28571428571,4052.00802979759,3416.34857579968,4687.6674837955,38
2023-04-21,3722,3400.0,4054.96994775933,3419.07059756673,4690.86929795192,38
2023-04-22,3549,3449.57142857143,4057.9244644911,3421.78593228153,4694.06299670066,38
2023-04-23,3294,3486.71428571429,4060.87079577772,3424.49385840757,4697.24773314786,38
2023-04-24,3763,3500.28571428571,4063.80815829414,3427.19365513144,4700.42266145683,38
