date,syndrome,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-07-03,SARI,29,17.0,37.6019173182358,-9.50804194506089,84.7118765815324,25
2023-07-04,SARI,13,16.0,37.5332317165846,-9.53337668375401,84.5998401169232,25
2023-07-05,SARI,17,16.7142857142857,37.4684918904135,-9.55721820042628,84.4942019812533,25
2023-07-06,SARI,16,16.1428571428571,37.4076998502293,-9.5795720344016,84.3949717348602,25
2023-07-07,SARI,21,17.1428571428571,37.3508575710669,-9.60044338523577,84.3021585273696,25
2023-07-08,SARI,17,18.2857142857143,37.2979670077859,-9.61983710188669,84.2157711174585,25
2023-07-09,SARI,15,18.2857142857143,37.2490301095226,-9.6377576724953,84.1358178915404,25
2023-07-10,SARI,,,37.2040488332966,-9.65420921477415,84.0623068813673,25
2023-07-11,SARI,,,37.1630251567708,-9.66919546700038,83.9952457805419,25
2023-07-12,SARI,,,37.125961090162,-9.68271977961059,83.9346419599347,25
2023-07-13,SARI,,,37.0928586873027,-9.69478510739448,83.880502482,25
2023-07-14,SARI,,,37.0637200558515,-9.70539400228497,83.8328341139879,25
2023-07-15,SARI,,,37.0385473666513,-9.71454860674259,83.7916433400452,25
2023-07-16,SARI,,,37.0173428622356,-9.72225064773171,83.756936372203,25
2023-07-17,SARI,,,37.0001088644792,-9.72850143128724,83.7287191602456,25
2023-07-18,SARI,,,36.9868477813946,-9.73330183766988,83.706997400459,25
2023-07-19,SARI,,,36.9775621130724,-9.73665231710884,83.6917765432536,25
2023-07-20,SARI,,,36.972254456764,-9.73855288613107,83.683061799659,25
2023-07-21,SARI,,,36.9709275111057,-9.73900312447629,83.6808581466876,25
2023-07-22,SARI,,,36.9735840794838,-9.73800217259762,83.6851703315651,25
2023-07-23,SARI,,,36.9802270725382,-9.73554872974761,83.696002874824,25
2023-07-24,SARI,,,36.9908595098044,-9.73164105265022,83.7133600722591,25
2023-07-25,SARI,,,37.0054845204913,-9.72627695475943,83.7372459957419,25
2023-07-26,SARI,,,37.0241053433935,-9.71945380610544,83.7676644928925,25
2023-07-27,SARI,,,37.0467253259385,-9.71116853372986,83.8046191856068,25
2023-07-28,SARI,,,37.0733479223632,-9.70141762271179,83.8481134674382,25
2023-07-29,SARI,,,37.1039766910222,-9.69019711778664,83.898150499831,25
2023-07-30,SARI,,,37.1386152908227,-9.67750262556039,83.9547332072058,25
2023-07-31,SARI,,,37.1772674767862,-9.66332931732196,84.0178642708943,25
2023-08-01,SARI,,,37.2199370947339,-9.64767193245667,84.0875461219244,25
2023-08-02,SARI,,,37.2666280750943,-9.63052478246451,84.1637809326532,25
2023-08-03,SARI,,,37.3173444258312,-9.61188175558671,84.2465706072491,25
2023-08-04,SARI,,,37.3720902244882,-9.59173632204489,84.3359167710212,25
2023-08-05,SARI,,,37.4308696093506,-9.57008153989683,84.431820758598,25
2023-08-06,SARI,,,37.4936867697201,-9.54691006151377,84.534283600954,25
2023-08-07,SARI,,,37.560545935301,-9.52221414068398,84.6433060112859,25
2023-08-08,SARI,,,37.631451364696,-9.49598564034748,84.7588883697395,25
2023-08-09,SARI,,,37.7064073330102,-9.46821604096756,84.881030706988,25
2023-08-10,SARI,,,37.7854181185599,-9.43889644954428,85.0097326866642,25
2023-08-11,SARI,,,37.8684879886862,-9.40801760927576,85.1449935866481,25
2023-08-12,SARI,,,37.9556211846702,-9.37556990987285,85.2868122792133,25
2023-08-13,SARI,,,38.0468219057506,-9.34154339853328,85.4351872100345,25
2023-08-14,SARI,,,38.1420942922398,-9.30592779158095,85.5901163760605,25
2023-08-15,SARI,,,38.24144240774,-9.26871248677655,85.7515973022565,25
2023-08-16,SARI,,,38.3448702204574,-9.22988657630536,85.9196270172202,25
2023-08-17,SARI,,,38.452381583615,-9.18943886044822,86.0942020276783,25
2023-08-18,SARI,,,38.5639802149632,-9.1473578619415,86.2753182918678,25
2023-08-19,SARI,,,38.6796696753896,-9.10363184103185,86.462971191811,25
2023-08-20,SARI,,,38.7994533466292,-9.05824881123128,86.6571555044898,25
