date,triage,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-12-03,1,58,55.2857142857143,64.1914725592908,-12.6256599568066,141.008605075388,37
2022-12-04,1,47,55.1428571428571,64.173671747827,-12.6328088113495,140.980152307003,37
2022-12-05,1,54,54.4285714285714,64.1555601737057,-12.6400807992881,140.951201146699,37
2022-12-06,1,58,55.2857142857143,64.1371413783727,-12.6474744294981,140.921757186243,37
2022-12-07,1,49,53.8571428571429,64.1184189964791,-12.6549881733946,140.891826166353,37
2022-12-08,1,61,54.8571428571429,64.0993967545842,-12.6626204655352,140.861413974704,37
2022-12-09,1,56,54.7142857142857,64.080078469829,-12.6703697042352,140.830526643893,37
2022-12-10,1,59,54.8571428571429,64.060468048579,-12.6782342521962,140.799170349354,37
2022-12-11,1,65,57.4285714285714,64.0405694850404,-12.6862124371452,140.767351407226,37
2022-12-12,1,62,58.5714285714286,64.0203868598472,-12.6943025524866,140.735076272181,37
2022-12-13,1,54,58.0,63.999924338621,-12.7025028579645,140.702351535206,37
2022-12-14,1,53,58.5714285714286,63.9791861705051,-12.7108115803361,140.669183921346,37
2022-12-15,1,69,59.7142857142857,63.9581766866723,-12.7192269140553,140.6355802874,37
2022-12-16,1,70,61.7142857142857,63.936900298807,-12.7277470219672,140.601547619581,37
2022-12-17,1,56,61.2857142857143,63.9153614975644,-12.7363700360107,140.567093031139,37
2022-12-18,1,53,59.5714285714286,63.8935648510047,-12.7450940579319,140.532223759941,37
2022-12-19,1,50,57.8571428571429,63.8715150030049,-12.7539171600053,140.496947166015,37
2022-12-20,1,64,59.2857142857143,63.8492166716486,-12.762837385764,140.461270729061,37
2022-12-21,1,68,61.4285714285714,63.826674647594,-12.7718527507379,140.425202045926,37
2022-12-22,1,78,62.7142857142857,63.8038937924214,-12.7809612431992,140.388748828042,37
2022-12-23,1,55,60.5714285714286,63.7808790369606,-12.7901608249158,140.351918898837,37
2022-12-24,1,57,60.7142857142857,63.7576353795996,-12.7994494319107,140.31472019111,37
2022-12-25,1,64,62.2857142857143,63.7341678845745,-12.8088249752289,140.277160744378,37
2022-12-26,1,59,63.5714285714286,63.7104816802417,-12.8182853417092,140.239248702192,37
2022-12-27,1,78,65.5714285714286,63.6865819573335,-12.8278283947627,140.20099230943,37
2022-12-28,1,51,63.1428571428571,63.6624739671978,-12.8374519751558,140.162399909551,37
2022-12-29,1,62,60.8571428571429,63.6381630200217,-12.8471539017985,140.123479941842,37
2022-12-30,1,56,61.0,63.6136544830415,-12.8569319725365,140.08424093862,37
2022-12-31,1,55,60.7142857142857,63.5889537787385,-12.8667839649483,140.044691522425,37
2023-01-01,1,45,58.0,57.5047437676103,-13.6004223748025,128.609909910023,35
2023-01-02,1,48,56.4285714285714,57.4820648991904,-13.6090849061227,128.573214704503,35
2023-01-03,1,58,53.5714285714286,57.4592271821417,-13.6178054739149,128.536259838198,35
2023-01-04,1,59,54.7142857142857,57.4362357054095,-13.6265820842173,128.499053495036,35
2023-01-05,1,63,54.8571428571429,57.413095599595,-13.6354127291259,128.461603928316,35
2023-01-06,1,45,53.2857142857143,57.3898120352631,-13.6442953875041,128.42391945803,35
2023-01-07,1,48,52.2857142857143,57.3663902212428,-13.6532280256923,128.386008468178,35
2023-01-08,1,41,51.7142857142857,57.3428354029211,-13.6622085982189,128.347879404061,35
2023-01-09,1,55,52.7142857142857,57.3191528605297,-13.6712350485111,128.309540769571,35
2023-01-10,1,43,50.5714285714286,57.2953479074278,-13.680305309606,128.271001124462,35
2023-01-11,1,52,49.5714285714286,57.2714258883783,-13.6894173048614,128.232269081618,35
2023-01-12,1,48,47.4285714285714,57.2473921778217,-13.6985689486654,128.193353304309,35
2023-01-13,1,51,48.2857142857143,57.2232521781449,-13.7077581471458,128.154262503436,35
2023-01-14,1,52,48.8571428571429,57.1990113179485,-13.7169827988778,128.115005434775,35
2023-01-15,1,47,49.7142857142857,57.1746750503112,-13.7262407955899,128.075590896212,35
2023-01-16,1,64,51.0,57.1502488510529,-13.7355300228685,128.036027724974,35
2023-01-17,1,51,52.1428571428571,57.1257382169974,-13.7448483608598,127.996324794854,35
2023-01-18,1,49,51.7142857142857,57.1011486642341,-13.7541936849692,127.956491013437,35
2023-01-19,1,61,53.5714285714286,57.076485726381,-13.7635638665588,127.916535319321,35
2023-01-20,1,49,53.2857142857143,57.051754952848,-13.7729567736405,127.876466679337,35
2023-01-21,1,44,52.1428571428571,57.0269619071027,-13.7823702715672,127.836294085773,35
2023-01-22,1,32,50.0,57.0021121649377,-13.7918022237192,127.796026553595,35
2023-01-23,1,49,47.8571428571429,56.9772113127411,-13.8012504921877,127.75567311767,35
2023-01-24,1,65,49.8571428571429,56.952264945771,-13.8107129384538,127.715242829996,35
2023-01-25,1,45,49.2857142857143,56.927278666433,-13.820187424063,127.674744756929,35
2023-01-26,1,41,46.4285714285714,56.9022580825635,-13.8296718112956,127.634187976423,35
2023-01-27,1,58,47.7142857142857,56.8772088057173,-13.8391639638322,127.593581575267,35
2023-01-28,1,44,47.7142857142857,56.8521364494613,-13.8486617474136,127.552934646336,35
2023-01-29,1,46,49.7142857142857,56.8270466276751,-13.8581630304962,127.512256285846,35
2023-01-30,1,63,51.7142857142857,56.801944952857,-13.8676656849017,127.471555590616,35
2023-01-31,1,52,49.8571428571429,56.7768370344392,-13.8771675864608,127.430841655339,35
2023-02-01,1,48,50.2857142857143,56.7517284771091,-13.8866666156514,127.39012356987,35
2023-02-02,1,48,51.2857142857143,56.7266248791405,-13.8961606582309,127.349410416512,35
2023-02-03,1,57,51.1428571428571,56.7015318307327,-13.9056476058618,127.308711267327,35
2023-02-04,1,47,51.5714285714286,56.6764549123593,-13.9151253567309,127.268035181449,35
2023-02-05,1,46,51.5714285714286,56.651399693127,-13.9245918161624,127.227391202417,35
2023-02-06,1,45,49.0,56.6263717291447,-13.9340448972241,127.186788355514,35
2023-02-07,1,50,48.7142857142857,56.6013765619027,-13.9434825213262,127.146235645132,35
2023-02-08,1,58,50.1428571428571,56.5764197166641,-13.9529026188135,127.105742052142,35
2023-02-09,1,55,51.1428571428571,56.5515067008673,-13.9623031295504,127.065316531285,35
2023-02-10,1,45,49.4285714285714,56.5266430025403,-13.9716820034985,127.024968008579,35
2023-02-11,1,50,49.8571428571429,56.5018340887283,-13.9810372012867,126.984705378743,35
2023-02-12,1,65,52.5714285714286,56.4770854039331,-13.9903666947736,126.94453750264,35
2023-02-13,1,64,55.2857142857143,56.4524023685665,-13.9996684676027,126.904473204736,35
2023-02-14,1,62,56.8571428571429,56.4277903774169,-14.0089405157491,126.864521270583,35
2023-02-15,1,61,57.2857142857143,56.4032547981305,-14.0181808480589,126.82469044432,35
2023-02-16,1,53,57.0,56.3788009697059,-14.0273874867804,126.784989426192,35
2023-02-17,1,56,58.5714285714286,56.3544342010038,-14.0365584680874,126.745426870095,35
2023-02-18,1,50,58.5714285714286,56.3301597692722,-14.0456918425936,126.706011381138,35
2023-02-19,1,44,55.5714285714286,56.3059829186861,-14.0547856758602,126.666751513232,35
2023-02-20,1,64,55.7142857142857,56.2819088589032,-14.0638380488937,126.6276557667,35
2023-02-21,1,58,55.1428571428571,56.2579427636356,-14.0728470586364,126.588732585908,35
2023-02-22,1,40,52.1428571428571,56.2340897692375,-14.0818108184483,126.549990356923,35
2023-02-23,1,67,54.1428571428571,56.2103549733097,-14.0907274585799,126.511437405199,35
2023-02-24,1,59,54.5714285714286,56.1867434333203,-14.0995951266379,126.473081993278,35
2023-02-25,1,49,54.4285714285714,56.1632601652427,-14.1084119880407,126.434932318526,35
2023-02-26,1,45,54.5714285714286,56.1399101422115,-14.1171762264668,126.39699651089,35
2023-02-27,1,58,53.7142857142857,56.1166982931944,-14.1258860442939,126.359282630683,35
2023-02-28,1,48,52.2857142857143,56.0936295016832,-14.1345396630296,126.321798666396,35
2023-03-01,1,52,54.0,56.0707086044019,-14.1431353237335,126.284552532537,35
2023-03-02,1,53,52.0,56.0479403900333,-14.1516712874309,126.247552067497,35
2023-03-03,1,54,51.2857142857143,56.0253295979635,-14.1601458355176,126.210805031445,35
2023-03-04,1,51,51.5714285714286,56.0028809170458,-14.1685572701565,126.174319104248,35
2023-03-05,1,43,51.1428571428571,55.9805989843817,-14.1769039146652,126.138101883429,35
2023-03-06,1,56,50.8571428571429,55.9584883841226,-14.1851841138954,126.102160882141,35
2023-03-07,1,65,53.2857142857143,55.9365536462889,-14.1933962346039,126.066503527182,35
2023-03-08,1,41,51.7142857142857,55.9147992456093,-14.2015386658144,126.031137157033,35
2023-03-09,1,54,51.8571428571429,55.8932296003785,-14.2096098191717,125.996069019929,35
2023-03-10,1,49,51.1428571428571,55.8718490713355,-14.2176081292868,125.961306271958,35
2023-03-11,1,61,52.7142857142857,55.85066196056,-14.2255320540743,125.926855975194,35
2023-03-12,1,55,54.4285714285714,55.8296725103896,-14.2333800750804,125.89272509586,35
2023-03-13,1,68,56.1428571428571,55.808884902356,-14.2411506978036,125.858920502516,35
2023-03-14,1,54,54.5714285714286,55.7883032561419,-14.2488424520068,125.825448964291,35
2023-03-15,1,44,55.0,55.7679316285563,-14.2564538920209,125.792317149134,35
2023-03-16,1,52,54.7142857142857,55.7477740125321,-14.2639835970407,125.759531622105,35
2023-03-17,1,58,56.0,55.7278343361416,-14.2714301714123,125.727098843696,35
2023-03-18,1,64,56.4285714285714,55.7081164616334,-14.2787922449128,125.695025168179,35
2023-03-19,1,65,57.8571428571429,55.6886241844892,-14.2860684730218,125.663316842,35
2023-03-20,1,57,56.2857142857143,55.6693612325013,-14.2932575371854,125.631980002188,35
2023-03-21,1,57,56.7142857142857,55.6503312648695,-14.3003581450716,125.601020674811,35
2023-03-22,1,50,57.5714285714286,55.6315378713196,-14.3073690308188,125.570444773458,35
2023-03-23,1,53,57.7142857142857,55.6129845712412,-14.3142889552758,125.540258097758,35
2023-03-24,1,43,55.5714285714286,55.5946748128472,-14.3211167062351,125.510466331929,35
2023-03-25,1,46,53.0,55.5766119723522,-14.3278510986579,125.481075043362,35
2023-03-26,1,53,51.2857142857143,55.5587993531735,-14.3344909748918,125.452089681239,35
2023-03-27,1,56,51.0,55.5412401851502,-14.3410352048815,125.423515575182,35
2023-03-28,1,51,50.1428571428571,55.5239376237855,-14.3474826863716,125.395357933943,35
2023-03-29,1,41,48.8571428571429,55.5068947495072,-14.3538323451028,125.367621844117,35
2023-03-30,1,48,48.1428571428571,55.4901145669505,-14.3600831350003,125.340312268901,35
2023-03-31,1,57,50.1428571428571,55.4736000042605,-14.366234038356,125.313434046877,35
2023-04-01,1,34,43.7142857142857,49.3773785347276,-14.692789151349,113.447546220804,33
2023-04-02,1,40,42.7142857142857,49.3631550629353,-14.6977930348882,113.424103160759,33
2023-04-03,1,52,43.0,49.3491754970242,-14.7027103838764,113.401061377925,33
2023-04-04,1,39,42.1428571428571,49.3354421658587,-14.7075404444866,113.378424776204,33
2023-04-05,1,45,41.7142857142857,49.32195732737,-14.7122824874026,113.356197142143,33
2023-04-06,1,50,41.7142857142857,49.3087231680452,-14.7169358079318,113.334382144022,33
2023-04-07,1,29,38.2857142857143,49.2957418024345,-14.7214997261133,113.312983330982,33
2023-04-08,1,43,39.7142857142857,49.283015272677,-14.7259735868201,113.292004132174,33
2023-04-09,1,57,41.1428571428571,49.270545548045,-14.7303567598568,113.271447855947,33
2023-04-10,1,,,49.2583345245055,-14.734648640051,113.251317689062,33
2023-04-11,1,,,49.2463840243012,-14.738848647341,113.231616695943,33
2023-04-12,1,,,49.2346957955489,-14.7429562268571,113.212347817955,33
2023-04-13,1,,,49.2232715118562,-14.7469708489991,113.193513872711,33
2023-04-14,1,,,49.2121127719562,-14.7508920095082,113.175117553421,33
